eps,Min_Samples,Clusters,Noise,Silhouette Score,Davies-Bouldin Index
0.05,2,4,381,0.9944174616621551,0.005315609159953532
0.05,2,4,381,0.9944174616621551,0.005315609159953532
0.06,2,4,381,0.9944174616621551,0.005315609159953532
0.06,2,5,379,0.9921900547767313,0.007978961584931197
0.07,2,6,377,0.9903077474205868,0.010908379817679802
0.07,2,6,377,0.9903077474205868,0.010908379817679802
0.08,2,6,377,0.9903077474205868,0.010908379817679802
0.08,2,6,377,0.9903077474205868,0.010908379817679802
0.09,2,6,377,0.9903077474205868,0.010908379817679802
0.09,2,7,375,0.9712820440170189,0.03226867196494258
0.1,2,8,373,0.969019147881816,0.03361547870774967
0.1,2,9,371,0.8999554463362843,0.10454254653866507
0.11,2,9,371,0.8999554463362843,0.10454254653866507
0.11,2,9,371,0.8999554463362843,0.10454254653866507
0.12,2,9,371,0.8999554463362843,0.10454254653866507
0.12,2,9,371,0.8999554463362843,0.10454254653866507
0.13,2,9,370,0.8689773493424152,0.12464364547822934
0.13,2,11,366,0.8775793893189389,0.11671470890240787
0.14,2,12,364,0.8586416105280523,0.13709296140953248
0.14,2,12,363,0.8360242161476529,0.1584673219270122
0.15,2,12,363,0.8360242161476529,0.1584673219270122
0.15,2,12,363,0.8360242161476529,0.1584673219270122
0.16,2,12,363,0.8360242161476529,0.1584673219270122
0.16,2,13,359,0.8226447719603172,0.16654427154647772
0.16,2,15,355,0.7684647868764908,0.22484377641490358
0.17,2,15,355,0.7684647868764908,0.22484377641490358
0.17,2,16,353,0.7676622617137853,0.22587551565122438
0.18,2,17,351,0.7523772890215464,0.24386749916728062
0.18,2,17,349,0.7438174825115456,0.23506393380716892
0.19,2,17,349,0.7438174825115456,0.23506393380716892
0.19,2,20,343,0.7044385447555053,0.29019784368929746
0.2,2,21,339,0.6671726665386234,0.32435703192874354
0.2,2,20,337,0.6807336676021667,0.2901775094676716
0.21,2,20,336,0.6592481340719887,0.29982902444788706
0.21,2,21,334,0.6520874855808628,0.30995017605372976
0.22,2,21,334,0.6520874855808628,0.30995017605372976
0.22,2,22,329,0.6234673657474885,0.33249855258343153
0.23,2,24,325,0.6178476031650291,0.3390318368192832
0.23,2,24,325,0.6178476031650291,0.3390318368192832
0.24,2,23,324,0.5859319579671802,0.3490152163721739
0.24,2,24,322,0.5855465706930035,0.35193466679857544
0.25,2,24,320,0.5739888339137741,0.358681131552307
0.25,2,25,318,0.56218727535862,0.3821149032681883
0.26,2,26,314,0.5543212934609387,0.4008671925340552
0.26,2,25,313,0.5421489885332104,0.40876020406327646
0.26,2,25,313,0.5421489885332104,0.40876020406327646
0.27,2,27,308,0.5465833866674799,0.39428617609134164
0.27,2,29,304,0.5353975847260036,0.41022705661172815
0.28,2,30,300,0.5296330998286621,0.41870316641203886
0.28,2,30,298,0.5160540647686845,0.40526690200840065
0.29,2,31,295,0.5021802365521938,0.4242487429589725
0.29,2,33,291,0.4943778148819538,0.44460973906095785
0.3,2,32,291,0.47314343705209416,0.4552024201759524
0.3,2,30,288,0.48739759291205415,0.44769937067379767
0.31,2,28,287,0.47182045577703946,0.4353824998916057
0.31,2,28,287,0.47182045577703946,0.4353824998916057
0.32,2,28,286,0.47028275778324313,0.4384487057166625
0.32,2,28,286,0.47028275778324313,0.4384487057166625
0.33,2,29,283,0.46950141726084876,0.4415923607568468
0.33,2,28,283,0.4744844038251441,0.4349316109167999
0.34,2,27,283,0.48795756710590577,0.41247934587530144
0.34,2,28,280,0.46949463774434114,0.428996338787829
0.35,2,28,279,0.4712235154714967,0.4304291100810908
0.35,2,27,277,0.45289827417936834,0.44399650396631896
0.36,2,27,276,0.4514812973248429,0.4539984381349964
0.36,2,27,271,0.43065895129135023,0.48030374448127017
0.37,2,27,268,0.4105135286033714,0.48649865507335527
0.37,2,26,268,0.41231181508990816,0.4843228485849816
0.37,2,26,265,0.4158154884188657,0.4717424016383849
0.38,2,25,263,0.4262393196469782,0.4901237238487382
0.38,2,25,262,0.42663503858841784,0.4916564211750656
0.39,2,24,258,0.37225959255189783,0.4466067980439051
0.39,2,26,253,0.3748910943578841,0.43531803273972414
0.4,2,28,246,0.3633659470228845,0.46434202739828373
0.4,2,27,244,0.3416426716804215,0.4530543720864741
0.41,2,25,242,0.45983111928020637,0.4182720889132036
0.41,2,27,237,0.4609649689091773,0.4173207049169861
0.42,2,27,236,0.45223023533884804,0.4191724263478787
0.42,2,28,232,0.43864523669377176,0.4210676601725892
0.43,2,31,226,0.4318419471199912,0.44831498655108454
0.43,2,30,223,0.41335335655059974,0.48745986803201224
