eps,Min_Samples,Clusters,Noise,Silhouette Score,Davies-Bouldin Index
0.05,2,25,202,0.591242626379268,0.4283612345857609
0.07,2,25,155,0.3861861950326604,0.631157755945006
0.09,2,17,102,-0.10089749906138423,0.7370415090848924
0.11,2,13,77,0.014401700591833983,0.6981318991652365
0.13,2,14,52,-0.01874441658532618,0.7753359530154128
0.15,2,11,40,0.016683026310203512,0.7123704343344606
0.17,2,5,34,-0.02189133532588915,0.789637439319679
0.19,2,3,29,0.46919263448915244,0.4415211911466339
0.21,2,4,25,0.3320871877669384,0.5574349001979059
0.22,2,1,25,,
0.24,2,3,18,0.39849689393333937,0.5014989880521555
0.26,2,3,16,0.3909965581363496,0.5069245979739815
0.28,2,3,14,0.3853031488620311,0.5115549902352498
0.3,2,3,12,0.3774705731919822,0.5173522960680739
0.32,2,3,9,0.5234045948549472,0.41397969156282705
0.34,2,3,7,0.47024263651295084,0.5259026545372553
0.36,2,3,7,0.47024263651295084,0.5259026545372553
0.38,2,3,7,0.47024263651295084,0.5259026545372553
0.4,2,2,6,0.7775121871443993,0.20549061257574622
0.42,2,2,6,0.7775121871443993,0.20549061257574622
0.44,2,2,5,0.7755956513634936,0.20682050320738252
0.46,2,2,5,0.7755956513634936,0.20682050320738252
0.48,2,2,5,0.7755956513634936,0.20682050320738252
0.5,2,2,5,0.7755956513634936,0.20682050320738252
0.52,2,2,5,0.7755956513634936,0.20682050320738252
0.53,2,2,5,0.7755956513634936,0.20682050320738252
0.55,2,2,5,0.7755956513634936,0.20682050320738252
0.57,2,2,5,0.7755956513634936,0.20682050320738252
0.59,2,2,5,0.7755956513634936,0.20682050320738252
0.61,2,2,5,0.7755956513634936,0.20682050320738252
0.63,2,2,5,0.7755956513634936,0.20682050320738252
0.65,2,2,4,0.7719075409318767,0.20917003427254904
0.67,2,2,4,0.7719075409318767,0.20917003427254904
0.69,2,2,4,0.7719075409318767,0.20917003427254904
0.71,2,2,4,0.7719075409318767,0.20917003427254904
0.73,2,2,4,0.7719075409318767,0.20917003427254904
0.75,2,2,4,0.7719075409318767,0.20917003427254904
0.77,2,2,4,0.7719075409318767,0.20917003427254904
0.79,2,2,3,0.7654632250914949,0.21195437182398136
0.81,2,2,3,0.7654632250914949,0.21195437182398136
0.83,2,1,3,,
0.84,2,1,3,,
0.86,2,1,3,,
0.88,2,1,3,,
0.9,2,1,3,,
0.92,2,1,3,,
0.94,2,1,3,,
0.96,2,1,3,,
0.98,2,1,2,,
1.0,2,1,2,,
