,Cluster
18000077,0
56000003,0
55000017,0
55000018,0
52000068,0
52000870,0
58000019,0
57000050,0
52000033,0
21000089,0
52000064,0
52000039,0
52000020,0
51000001,0
21000548,0
21000647,0
21001663,0
51000002,0
51000026,0
51000024,0
45000005,0
21000794,0
45000043,0
26000080,0
27000021,0
27000004,0
27000003,0
26000170,0
26000111,0
26000096,0
26000082,0
40000001,0
30000052,0
58000047,0
25000733,1
27000045,1
31000016,1
35000006,1
28000001,1
29000009,1
36000009,1
36000012,1
37000038,1
37000011,1
38000023,1
38000024,1
39000001,1
37000039,1
36000008,1
35000018,1
35000010,1
35000013,1
39000002,1
31000023,1
32000001,1
32000022,1
34000019,1
34000002,1
32000004,1
34000023,1
33000004,1
56000007,2
57000055,2
47000036,2
56000006,2
56000005,2
56000002,2
56000001,2
46000020,2
57000049,2
23000087,2
45000058,2
62000014,2
45000034,2
45000003,2
45000004,2
45000002,2
44000188,2
47000037,2
44000021,2
47000001,2
47000032,2
46000030,2
45000035,2
54000002,2
17000007,3
18000078,3
10000009,3
15000073,3
14000020,3
20000042,3
10000010,3
20000034,3
19000016,3
15000046,3
19000012,3
15000043,3
15000002,3
15000045,3
14000022,3
15000034,3
15000042,3
15000032,3
14000016,3
57000058,4
20000021,4
21000461,4
21000467,4
50000046,4
21000569,4
50000058,4
21000084,4
55000015,4
21000665,4
26000037,4
42000022,4
42000074,4
25000085,4
42000021,4
42000012,4
11000011,4
62000012,4
27000002,5
41000014,5
21000752,5
21000487,5
21000072,5
21000040,5
21000065,5
21000446,5
21000577,5
21000572,5
21000803,5
21000759,5
21000786,5
21000872,5
21000861,5
16000030,5
10000011,5
49000092,6
49000066,6
48000115,6
52000025,6
50000057,6
48000010,6
52000198,6
52000029,6
48000011,6
50000045,6
48000007,6
50000048,6
49000227,6
50000056,6
49000061,6
49000094,6
22000062,7
25000078,7
37000034,7
25000091,7
45000041,7
21000413,7
31000017,7
25000097,7
25000082,7
43000001,7
22000050,7
46000017,7
20000024,7
46000001,7
31000027,7
20000026,7
60000027,8
59000006,8
59000005,8
63000007,8
62000017,8
61000013,8
61000012,8
60000029,8
60000037,8
60000036,8
60000031,8
61000011,8
57000052,8
57000057,8
62000022,8
57000053,8
21006037,9
21000712,9
21000745,9
13000011,9
21000085,9
25000018,9
22000053,9
21006038,9
25000021,9
32000013,9
16000053,9
48000004,9
36000015,9
36000018,9
21000110,10
25000020,10
31000032,10
46000018,10
43000003,10
21000030,10
21000557,10
31000021,10
21000873,10
21000563,10
21000062,10
21000526,10
21000090,10
52000063,11
11000016,11
49000054,11
13000019,11
9000001,11
9000015,11
17000004,11
10000016,11
10000014,11
50000051,11
41000016,12
16000024,12
42000014,12
20000790,12
45000045,12
42000020,12
41000020,12
41000012,12
34000003,12
41000024,12
6000001,13
3000002,13
3000003,13
2000006,13
5000003,13
8000001,13
7000003,13
2000005,13
4000002,13
4000005,13
53000011,14
53000010,14
53000028,14
53000235,14
52000199,14
53000029,14
22000043,15
25000086,15
22000048,15
16000023,15
16000070,15
22000234,15
21000790,16
67000019,16
66000014,16
67000018,16
67000017,16
21006035,17
25000075,17
21000528,17
21006036,17
32000030,18
49000057,19
