,Cluster
41000024,0
41000020,0
42000020,0
42000014,0
32000004,0
32000001,0
33000004,0
32000022,0
34000023,0
34000019,0
29000009,0
31000023,0
27000045,0
28000001,0
35000010,0
35000006,0
41000016,0
41000014,0
34000002,0
34000003,0
27000004,0
21000872,0
35000018,0
35000013,0
37000038,0
37000039,0
38000023,0
39000002,0
36000012,0
37000011,0
21000085,1
22000234,1
25000097,1
31000027,1
42000074,1
42000021,1
42000019,1
42000017,1
41000012,1
42000012,1
22000053,1
25000082,1
25000078,1
25000021,1
34000024,1
32000013,1
31000017,1
25000733,1
40000001,1
39000001,1
38000024,1
37000034,1
36000009,1
36000008,1
36000015,1
36000018,1
46000018,2
56000005,2
52000033,2
46000020,2
48000011,2
47000037,2
47000001,2
51000001,2
45000005,2
45000035,2
44000188,2
45000002,2
43000003,2
44000021,2
45000003,2
21001663,2
45000004,2
47000032,2
46000017,2
45000043,2
45000058,2
62000014,2
62000012,2
63000007,2
45000041,2
45000369,2
56000001,3
57000049,3
64000025,3
56000002,3
56000006,3
54000002,3
57000055,3
59000006,3
60000035,3
60000031,3
58000047,3
57000052,3
57000057,3
57000053,3
60000027,3
61000012,3
62000017,3
61000013,3
61000011,3
60000037,3
60000036,3
52000039,4
52000068,4
51000002,4
50000051,4
52000199,4
50000056,4
49000094,4
49000066,4
52000064,4
48000007,4
49000227,4
52000020,4
52000029,4
49000092,4
49000061,4
48000115,4
49000057,4
48000010,4
51000026,4
21000557,5
20000026,5
21000745,5
21000089,5
20000024,5
21000526,5
25000018,5
21000712,5
21000563,5
25000020,5
21000873,5
21000803,5
21006037,5
21000794,5
21000040,5
22000062,5
21006038,5
21000413,5
21000030,5
43000001,6
51000024,6
47000036,6
52000063,6
42000022,6
46000001,6
9000015,6
55000018,6
56000003,6
56000007,6
57000050,6
55000017,6
57000058,6
9000001,6
52000870,6
46000030,6
46000019,6
27000003,7
26000111,7
26000170,7
27000002,7
21000647,7
21000752,7
21000759,7
21000861,7
21000786,7
21000577,7
21000572,7
21000487,7
21000072,7
21000065,7
21000446,7
25000086,8
25000091,8
25000075,8
22000043,8
20000790,8
11000016,8
31000032,8
16000023,8
16000024,8
16000070,8
16000053,8
16000030,8
31000016,8
30000052,8
26000037,9
21000665,9
11000011,9
21000569,9
21000467,9
21000461,9
21000062,9
21000084,9
18000077,9
25000085,9
45000034,9
64000033,9
17000007,10
20000034,10
18000078,10
19000016,10
10000009,10
10000014,10
19000012,10
13000011,10
15000073,10
13000019,10
15000042,10
20000042,11
55000015,11
21000090,11
20000021,11
50000046,11
49000054,11
48000004,11
17000004,11
45000045,11
31000021,11
50000058,11
6000001,12
7000003,12
4000002,12
4000005,12
5000003,12
3000003,12
2000006,12
2000005,12
8000001,12
3000002,12
53000235,13
53000011,13
52000025,13
53000010,13
52000198,13
53000028,13
50000045,13
50000057,13
50000048,13
26000096,14
27000021,14
23000087,14
26000080,14
26000082,14
21000548,14
10000010,15
10000011,15
15000046,15
14000022,15
14000016,15
15000032,15
58000019,16
59000005,16
67000017,16
67000018,16
66000014,16
67000019,16
15000034,17
14000020,17
21006036,17
21006035,17
21000528,17
21000110,17
15000002,18
15000043,18
10000016,18
21000790,19
22000048,19
22000050,19
