,Cluster
51000245,0
20000026,0
45000002,0
45000003,0
20000025,0
41000012,0
38000047,0
40000001,0
38000024,0
42001011,0
42000021,0
42000074,0
21000062,0
45000058,0
23000087,0
22001540,0
32000013,0
25003595,0
25003597,0
21000745,0
25000078,0
45000004,0
45000005,0
25000018,0
21000806,0
22000053,0
52001041,1
48000011,1
52000198,1
53000011,1
48000010,1
60000029,1
57000055,1
54000002,1
49000066,1
49000061,1
50000056,1
50000057,1
46000018,1
47000659,1
50000051,1
49000094,1
51000001,1
48000007,1
61000399,1
52000025,1
57000063,1
58000019,1
61000011,1
61000012,1
61000013,1
61000094,1
2000014,2
36000008,2
34000003,2
31000027,2
20000024,2
19000075,2
36000009,2
40000165,2
9000451,2
9000015,2
7000003,2
16000054,2
22001541,2
22000234,2
22000194,2
22000225,2
25001614,2
25000716,2
25000082,2
25000097,2
6000427,2
22000062,2
22000057,2
22000054,2
21000794,2
25000483,3
25000020,3
25000021,3
21000786,3
21000752,3
25000733,3
25000639,3
25000019,3
36000012,3
33000318,3
32000022,3
32000001,3
31000023,3
32000004,3
31000032,3
21000487,3
35000010,3
35000013,3
19000012,3
19000016,3
21000040,3
45000090,3
21000072,3
41000391,3
60000212,4
53000618,4
63000007,4
64000025,4
62000012,4
61000441,4
62000014,4
62000022,4
53000010,4
57000048,4
51000026,4
52000029,4
56000002,4
56000005,4
60000031,4
59000006,4
55000017,4
56000007,4
60000036,4
56000001,4
56000006,4
58000047,4
57000053,4
43000408,5
21000587,5
28000051,5
26000080,5
26000096,5
43000007,5
36000192,5
33000004,5
34000002,5
39000001,5
21000666,5
21006549,5
23000587,5
34000019,5
21000548,5
21000923,5
21001663,5
21000030,5
21000413,5
38000107,5
21000085,5
46000020,5
45000034,6
45000044,6
45001412,6
21000089,6
45000047,6
45001404,6
37000034,6
43000003,6
41000020,6
44000021,6
38000052,6
41000016,6
41000024,6
42000012,6
47000036,6
46000017,6
51000002,6
51000261,6
52000068,6
55000051,6
47000001,6
46000642,6
27000055,7
21000759,7
21000648,7
27000638,7
21000572,7
27000004,7
27000045,7
27000035,7
27000615,7
33000003,7
31000016,7
27000002,7
27000003,7
35000006,7
29000535,7
29000232,7
29000009,7
39000002,7
35000018,7
27000671,7
28000001,7
21000872,7
25000091,8
25000075,8
16000030,8
16000070,8
16001309,8
9000172,8
13000430,8
25000629,8
22000048,8
12000519,8
12000001,8
22000050,8
22000043,8
22000046,8
22001542,8
16001095,8
16000215,8
19000214,8
19000015,8
16000023,8
47000037,9
44000191,9
50000045,9
52000199,9
47001065,9
10000017,9
60000037,9
21000803,9
10000016,9
10000011,9
59000005,9
54000184,9
45000043,9
46000608,9
47001141,9
21000020,9
21000446,9
44000590,9
57000059,10
51000024,10
20000021,10
57000058,10
55000018,10
52000040,10
52000063,10
43000001,10
20000308,10
21000591,10
30000215,10
56000003,10
49000054,10
52000039,10
57000050,10
23000002,10
21000665,10
7000333,11
21000800,11
13000019,11
3000003,11
3000002,11
4000005,11
10000010,11
6000001,11
2000005,11
2000006,11
5000003,11
17000007,11
8000001,11
10000014,11
37000011,12
42000014,12
42000020,12
57000044,12
57000121,12
34000023,12
41000014,12
38000023,12
37000039,12
37000038,12
57000052,12
46000641,12
45000117,12
57000049,12
48000006,13
42000366,13
21000090,13
21000528,13
31000021,13
25000275,13
23000083,13
42000379,13
50000048,13
15000044,13
50000058,13
48000004,13
43000432,13
26000082,14
24000050,14
11000011,14
21000712,14
25000085,14
21000643,14
46000001,14
21000084,14
21000461,14
46000030,14
18000077,14
16000123,14
22000419,15
22000640,15
11000204,15
25000086,15
11000016,15
1000315,15
1000102,15
22000336,15
16000024,15
9000293,15
16000053,15
10000009,16
15000046,16
15000104,16
15000043,16
15000073,16
14000016,16
14000022,16
15000032,16
67000019,17
52000033,17
66000034,17
67000017,17
66000014,17
53000028,17
60000027,17
21000061,18
15000034,18
15000042,18
17000004,18
15001056,18
21000462,19
13000011,19
15000069,19
