,Cluster
56000007,0
57000050,0
55000018,0
55000017,0
52001041,0
57000063,0
57000059,0
57000053,0
56000003,0
48000011,0
48000010,0
51000024,0
51000002,0
52000040,0
52000039,0
56000005,0
52000063,0
48000007,0
42000074,0
44000020,0
45000058,0
45000047,0
45000004,0
45000003,0
45000002,0
46000001,0
46000019,0
46000018,0
47000036,0
46000642,0
48000004,0
46000030,0
45000804,0
45001337,0
42000022,0
42001011,0
44000021,0
23000002,1
21000794,1
21000712,1
24000050,1
25000020,1
25000078,1
22000062,1
22000053,1
22000057,1
21001449,1
22000194,1
21000591,1
21000800,1
18000077,1
18000887,1
21000467,1
21000413,1
20000026,1
20000025,1
20000024,1
22000225,1
22001541,1
22001540,1
25000716,1
25000097,1
25000085,1
25000082,1
32000013,1
31000027,1
31000021,1
25001614,1
21006036,2
24000061,2
5000003,2
2000005,2
21000528,2
2000006,2
21000090,2
23000087,2
1000102,2
10000011,2
10000017,2
7000333,2
4000005,2
1000315,2
7000003,2
13000011,2
7000099,2
4000002,2
3000002,2
3000003,2
5000078,2
17000004,2
8000001,2
10000016,2
6000306,2
6000001,2
14000020,2
42000366,3
41000012,3
39000002,3
39000001,3
40000001,3
42000014,3
42000012,3
35000018,3
42000017,3
37000034,3
40000165,3
42000379,3
42000021,3
45000090,3
42000478,3
43000007,3
42000020,3
52000020,3
52000068,3
52000064,3
38000024,3
36000008,3
38000052,3
38000047,3
36000061,3
36000009,3
38000107,3
31000023,4
21000487,4
22000158,4
22000046,4
21000872,4
21000752,4
33000003,4
35000008,4
32000004,4
32000001,4
31000032,4
31001108,4
36000018,4
36000012,4
25000733,4
25000642,4
25000091,4
31000017,4
29000232,4
29000535,4
25000483,4
32000022,4
34000002,4
34000003,4
34000019,4
34000024,4
25003599,4
60000036,5
57000048,5
60000027,5
58000047,5
59000005,5
59000006,5
60000031,5
60000035,5
45001404,5
45000043,5
57000052,5
45000044,5
45000005,5
57000178,5
57000121,5
60000037,5
60000029,5
43000408,5
43000003,5
45001412,5
43000001,5
43000432,5
21000665,6
21000806,6
21000087,6
21000084,6
49000054,6
57000058,6
13000065,6
21000643,6
21000648,6
21001659,6
45000045,6
18000005,6
57001002,6
55000015,6
18000041,6
20000308,6
20000021,6
21000461,6
30000052,6
11000272,6
30000215,6
11000011,6
9000001,7
12000519,7
12000001,7
11000204,7
13000019,7
11000016,7
9000015,7
22000640,7
19000075,7
19000015,7
19000012,7
19000214,7
19000016,7
16000030,7
16000215,7
16000070,7
13000430,7
9000172,7
9000451,7
9000293,7
21000666,8
21000072,8
21000803,8
21000548,8
23000083,8
21000572,8
21000759,8
21000923,8
21006549,8
27000055,8
26000096,8
27000045,8
27000004,8
21002628,8
26000080,8
26000082,8
21000030,8
21000020,8
21000446,8
25003595,9
21000062,9
25003597,9
29000009,9
25000021,9
25000019,9
21000745,9
21002451,9
22000054,9
25000087,9
25000362,9
25000275,9
21000089,9
21000040,9
28000001,9
32000002,9
33000004,9
21000085,9
21000061,9
44000191,10
45000034,10
47000037,10
47001065,10
47000659,10
46000608,10
56000001,10
54000184,10
54000009,10
54000002,10
56000006,10
57000044,10
57000049,10
57000055,10
56000002,10
47000092,10
46000020,10
46000017,10
15000043,11
10000009,11
15000046,11
15000048,11
14000016,11
14000219,11
17000007,11
15000280,11
15000002,11
15000032,11
15000073,11
17002092,11
10000014,11
10000010,11
13000055,11
14000022,11
52000025,12
51000245,12
49000061,12
50000056,12
53000028,12
53000029,12
52000029,12
48000006,12
50000045,12
52000198,12
49000066,12
50000048,12
50000051,12
49000094,12
50000057,12
22001542,13
25000707,13
25000086,13
25000075,13
25000629,13
22000043,13
22000050,13
22000234,13
22000048,13
16001095,13
16000023,13
16000053,13
16001309,13
16000024,13
27000003,14
27000638,14
27000671,14
36000192,14
21000786,14
21006467,14
27000002,14
27000021,14
35000013,14
27000615,14
27000035,14
27000975,14
46000641,14
61000012,15
62000014,15
61000011,15
62000012,15
62000017,15
62000015,15
47000001,15
63000007,15
45000117,15
61000013,15
62000022,15
64000025,15
41000014,16
41000016,16
41000391,16
41000024,16
37000038,16
37000011,16
33000318,16
34000023,16
38000023,16
37000039,16
41000020,16
67000018,17
67000030,17
66000034,17
67000017,17
67000019,17
66000014,17
50000058,17
50000046,17
23000994,18
15000069,18
21000110,18
15001056,18
15000044,18
15000042,18
15000034,18
51000026,19
52000033,19
52000199,19
52000425,19
58000019,19
53000618,19
53000010,19
