,Cluster
1000219,0
11000011,0
21000467,0
21000569,0
21000745,0
21000760,0
21000712,0
21000665,0
21000062,0
21000084,0
21000085,0
21000089,0
20000026,0
21000040,0
20000024,0
18000077,0
21000455,0
21000461,0
30000215,0
30000052,0
35000010,0
36000008,0
25000097,0
26000037,0
25000078,0
25000082,0
25000021,0
25000085,0
22000050,0
22000225,0
22000062,0
22000053,0
31000027,0
31000017,0
36000009,0
32000013,0
57000058,0
46000030,0
51000002,0
51000024,0
46000001,0
43000001,0
45000002,0
42000022,0
57001002,0
57000050,0
56000007,0
56000003,0
52000063,0
55000018,0
55000017,0
57000494,0
45000004,0
45000005,0
43000007,0
45000058,0
35000013,1
35000006,1
47000037,1
51000026,1
36000012,1
35000018,1
34000002,1
34000024,1
37000011,1
41000020,1
38000023,1
41000014,1
41000016,1
46000018,1
46000017,1
45000059,1
47000001,1
56000006,1
56000002,1
52000425,1
52000199,1
53000010,1
52000068,1
57000049,1
59000006,1
57000063,1
56000005,1
57000052,1
57000178,1
57000055,1
58000019,1
58000047,1
57000044,1
21000861,2
21000807,2
21000794,2
26000080,2
21001663,2
26000096,2
26000082,2
26000151,2
24000050,2
27000002,2
21000752,2
21000572,2
21000548,2
21000648,2
21000759,2
21000072,2
21000413,2
21000666,2
27000045,2
28000001,2
29000009,2
27000004,2
27000035,2
21000030,2
21000873,2
16000030,3
11000016,3
12000001,3
16000024,3
13000011,3
13000019,3
22000048,3
22000043,3
21000786,3
21000803,3
25000086,3
31000032,3
25000075,3
17000004,3
21000487,3
19000012,3
19000015,3
16000411,3
16000410,3
16000276,3
16000777,3
16000023,3
16000070,3
52000039,4
52000198,4
49000066,4
23000173,4
13000065,4
52000029,4
52000033,4
50000056,4
49000094,4
49000146,4
49000057,4
50000051,4
50000046,4
48000010,4
48000011,4
48000004,4
48000007,4
49000054,4
52000020,4
45000043,4
52000025,4
50000058,4
62000012,5
43000003,5
44000021,5
64000025,5
25000018,5
62000017,5
60000031,5
61000012,5
61000013,5
63000007,5
62000022,5
62000014,5
60000029,5
60000036,5
60000027,5
56000001,5
54000002,5
45000090,5
47000036,5
45000003,5
62000015,5
21000090,6
21000110,6
21000528,6
33000004,6
32000004,6
32000001,6
25000733,6
21000872,6
25000020,6
21006036,6
32000022,6
34000003,6
36000018,6
34000023,6
33000003,6
37000038,6
34000019,6
17000007,7
14000022,7
10000009,7
10000016,7
10000017,7
10000011,7
10000014,7
14000020,7
14000016,7
15000073,7
15000002,7
10000010,7
15000046,7
23000083,7
15000032,7
15000043,7
42000014,8
41000012,8
42000074,8
42000012,8
39000002,8
37000034,8
40000001,8
42000020,8
42000021,8
38000024,8
39000001,8
37000249,8
67000030,9
67000017,9
12000195,9
9000015,9
9000001,9
55000015,9
66000034,9
67000019,9
66000014,9
67000018,9
2000005,10
3000002,10
3000003,10
4000002,10
4000005,10
5000003,10
7000003,10
8000001,10
6000001,10
50000057,11
50000048,11
50000045,11
49000061,11
53000028,11
53000011,11
