,Cluster
9001110,0
18000040,0
17000004,0
16001299,0
57000058,0
18000077,0
21000040,0
20000026,0
20000024,0
21000084,0
21000794,0
21000712,0
21000569,0
21000467,0
21000461,0
21000413,0
55000015,0
21000665,0
21006372,0
55000018,0
52000020,0
25000085,0
25000082,0
25000097,0
25000020,0
25000078,0
24000050,0
23000083,0
22000225,0
23000079,0
22000053,0
22000062,0
26000037,0
30000052,0
30000215,0
50000051,0
38000209,0
36000016,0
52000063,0
36000015,0
49000054,0
33000004,0
36000008,0
36000009,0
52000039,0
46000019,0
46000030,0
45000045,0
41000284,0
42000074,0
11000011,0
11000016,0
9000001,0
9000015,0
12000195,0
13000065,0
43000001,0
42000021,0
42000022,0
34000019,1
34000003,1
29000009,1
32000004,1
31000017,1
39000001,1
38000023,1
38000221,1
34000023,1
32000022,1
33000003,1
34000002,1
47000037,1
39000002,1
37000038,1
37000011,1
42000019,1
45000090,1
41000016,1
41000014,1
41000012,1
41000020,1
42000012,1
34000024,1
32000001,1
21000090,1
21000759,1
21000648,1
21000572,1
36000012,1
35000010,1
35000013,1
36000018,1
35000006,1
35000018,1
57000055,2
57000049,2
45000058,2
63000007,2
67000017,2
67000018,2
66000014,2
64000025,2
62000015,2
62000017,2
62000022,2
62000014,2
62000012,2
57000063,2
57001002,2
58000047,2
54000002,2
59000006,2
57000050,2
51000026,2
24000061,2
51000002,2
52000068,2
51000024,2
56000006,2
52000199,2
55000017,2
56000003,2
56000002,2
56000001,2
56000007,2
57000044,2
56000005,2
67000019,2
60000027,3
61000013,3
44000021,3
43000003,3
42000017,3
42000014,3
42000020,3
45000002,3
45000035,3
45000043,3
45000004,3
45000005,3
45000003,3
46000018,3
46000001,3
46000017,3
47000001,3
47000036,3
57000052,3
60000031,3
44000177,3
40000001,3
38000024,3
37000034,3
60000029,3
60000036,3
60000035,3
61000012,3
21000072,4
19000042,4
19000015,4
16000030,4
25000086,4
25000075,4
22000048,4
22000050,4
16000070,4
16000023,4
16000024,4
19000012,4
21000803,4
21000786,4
21000528,4
21000487,4
21001151,4
21006036,4
21006375,4
22000043,4
10000017,4
10000016,4
14000020,4
13000117,4
12000001,4
13000011,4
13000116,4
45000034,5
49000092,5
49000090,5
50000046,5
49000094,5
50000058,5
52000025,5
52000029,5
52000033,5
48000004,5
48000007,5
48000010,5
48000011,5
49000057,5
49000061,5
49000066,5
50000048,5
50000056,5
50000057,5
53000028,5
52000198,5
53000010,5
53000011,5
4000002,6
13000019,6
14000016,6
8000001,6
4000005,6
7000003,6
5000003,6
10000011,6
10000010,6
3000003,6
3000002,6
10000014,6
15000043,6
15000073,6
17000007,6
14000022,6
10000009,6
15000002,6
15000032,6
15000046,6
2000005,6
6000001,6
21000745,7
21000666,7
32000013,7
21000085,7
21000062,7
21000089,7
21000548,7
25000021,7
21000030,7
31000027,7
28000001,7
25001107,7
25000018,7
21001663,7
21000873,7
26000082,7
26000080,7
26000096,7
26000114,7
27000004,8
21000752,8
27000035,8
21000872,8
27000002,8
26000170,8
26000111,8
27000045,8
31000032,8
25000733,8
5000078,9
