,Cluster
15000069,0
52000020,0
51000024,0
52000063,0
52000033,0
51000002,0
56000006,0
56000003,0
55000017,0
55000018,0
56000001,0
56000002,0
53000235,0
53000028,0
44000021,0
46000018,0
49000054,0
56000007,0
57000057,0
57000055,0
57000053,0
57000044,0
59000006,0
58000047,0
57000063,0
57000058,0
57000050,0
57000049,0
57000052,0
67000019,0
53000010,0
52000068,0
50000051,0
45000003,0
45000002,0
44000188,0
45000004,0
45000369,0
45000043,0
45000034,0
46000001,0
46000017,0
45000058,0
49000092,0
47000036,0
47000037,0
47000001,0
41000012,0
25000021,1
11000011,1
18000077,1
17000004,1
21000569,1
21000413,1
21000461,1
21000467,1
21000089,1
21000062,1
21000084,1
21000085,1
20000026,1
20000024,1
20000021,1
19000016,1
32000013,1
25000097,1
31000021,1
25000085,1
25000020,1
46000030,1
45000005,1
46000019,1
38000024,1
42000022,1
36000009,1
38000107,1
36000008,1
37000034,1
9000015,1
45000045,1
9000001,1
25000078,1
25000082,1
21001663,1
21000794,1
25000018,1
22000225,1
22000062,1
21006038,1
21006037,1
22000053,1
21000665,1
21000712,1
21000745,1
27000045,2
28000001,2
34000002,2
32000004,2
32000001,2
21000577,2
21000535,2
21000548,2
21000572,2
21000487,2
27000003,2
27000004,2
27000021,2
27000002,2
21000786,2
21000040,2
21000090,2
26000096,2
17000007,2
15000046,2
21000065,2
21000072,2
14000022,2
10000009,2
10000016,2
10000010,2
15000002,2
15000104,2
18000078,2
15000109,2
15000043,2
14000020,2
14000016,2
13000011,2
26000080,2
21000647,2
21000648,2
21000752,2
21000861,2
21000759,2
21000803,2
21000872,2
29000009,2
26000082,2
60000037,2
38000023,3
37000011,3
42000074,3
35000010,3
36000012,3
34000023,3
37000039,3
39000001,3
38000047,3
39000002,3
40000001,3
41000020,3
41000014,3
42000020,3
42000021,3
42000014,3
42000012,3
30000052,3
31000017,3
32000022,3
33000004,3
20000790,3
25000075,3
25000086,3
31000032,3
22000234,3
22000048,3
22000050,3
20000034,3
16000030,3
13000019,3
12000001,3
11000016,3
16000070,3
16000024,3
19000012,3
16000023,3
22000043,3
37000038,3
34000019,3
34000003,3
35000018,3
35000013,3
35000006,3
21000557,4
23000087,4
21000873,4
21000666,4
23000083,4
10000011,4
10000014,4
15000032,4
15000073,4
52000039,4
49000227,4
50000048,4
50000056,4
52000025,4
50000058,4
50000046,4
53000029,4
43000001,4
48000011,4
48000004,4
48000007,4
48000010,4
49000066,4
23000173,4
26000037,4
21000526,4
21000563,4
21000030,4
50000045,4
49000094,4
50000057,4
55000015,4
52000198,4
49000061,4
49000057,4
3000003,5
2000005,5
31000027,5
21000790,5
2000006,5
3000002,5
7000003,5
8000001,5
4000005,5
4000002,5
67000017,5
5000003,5
66000014,5
6000001,5
67000018,5
41000016,6
41000024,6
54000002,6
61000012,6
61000011,6
60000036,6
32000030,6
64000025,6
63000007,6
62000022,6
62000017,6
62000012,6
62000014,6
61000013,6
60000031,6
21006036,7
21006035,7
21000528,7
15000034,7
15000045,7
15000042,7
21000529,7
