eps,Min_Samples,Clusters,Noise,Silhouette Score,Davies-Bouldin Index
0.05,2,26,154,0.4120136480650581,0.595080864099696
0.05,2,28,139,0.3607273010286912,0.6214994394007874
0.06,2,26,121,0.22815875489209408,0.6918716074757268
0.06,2,27,105,0.1779937134268822,0.7339109767679931
0.07,2,24,90,-0.02303576592247639,0.8458800446635597
0.07,2,25,78,-0.03374386618141879,0.8735113629376029
0.08,2,22,68,-0.0803957901592211,0.9173532338977709
0.08,2,18,64,-0.07495904364393685,0.8415682481477985
0.09,2,18,52,-0.2648957421392416,1.083265394029218
0.09,2,17,49,-0.23732029234088678,1.0774244257374614
0.1,2,15,43,-0.23994238691187644,1.0764433026026539
0.1,2,11,37,-0.23339009473314265,0.9781958599879872
0.11,2,10,35,-0.2677511398874711,0.8636218409631553
0.11,2,9,33,-0.2795974083988341,0.8573003062630793
0.12,2,8,33,-0.2071505290529199,0.8485790571188322
0.12,2,6,31,-0.06284854496116633,0.8545419969219606
0.13,2,6,30,-0.06434180187417433,0.8566585030011339
0.13,2,6,30,-0.06434180187417433,0.8566585030011339
0.14,2,6,28,-0.06687113491203908,0.8589786535072702
0.14,2,4,28,0.24858264639306457,0.6446247560994265
0.15,2,3,27,0.23802823535866063,0.6681769017440166
0.15,2,3,25,0.2343415915400014,0.671136838379469
0.16,2,3,24,0.2338750833953409,0.6714101358912732
0.16,2,3,23,0.23061591303256512,0.673869859829324
0.16,2,3,22,0.2282523019287041,0.6771908951061976
0.17,2,3,20,0.22497190187701835,0.6793574653200269
0.17,2,3,18,0.2207719732751504,0.6843147389636179
0.18,2,3,17,0.21685773758957863,0.6883974182858611
0.18,2,3,17,0.21685773758957863,0.6883974182858611
0.19,2,3,17,0.21685773758957863,0.6883974182858611
0.19,2,2,16,0.37367871962218824,0.5426552117098357
0.2,2,2,16,0.37367871962218824,0.5426552117098357
0.2,2,2,15,0.36939263454420596,0.5456285187810136
0.21,2,2,14,0.3676994425224936,0.5467916647008287
0.21,2,2,14,0.3676994425224936,0.5467916647008287
0.22,2,2,13,0.3637558001664859,0.5516378406588015
0.22,2,2,13,0.3637558001664859,0.5516378406588015
0.23,2,2,13,0.3637558001664859,0.5516378406588015
0.23,2,2,13,0.3637558001664859,0.5516378406588015
0.24,2,2,13,0.3637558001664859,0.5516378406588015
0.24,2,2,13,0.3637558001664859,0.5516378406588015
0.25,2,2,13,0.3637558001664859,0.5516378406588015
0.25,2,3,11,0.33840545117197574,0.5100068692611396
0.26,2,3,11,0.33840545117197574,0.5100068692611396
0.26,2,3,11,0.33840545117197574,0.5100068692611396
0.26,2,3,11,0.33840545117197574,0.5100068692611396
0.27,2,2,10,0.5594792295097213,0.46839024447843836
0.27,2,2,10,0.5594792295097213,0.46839024447843836
0.28,2,2,10,0.5594792295097213,0.46839024447843836
0.28,2,3,8,0.4940726566152918,0.4984174043972205
0.29,2,2,7,0.5101826748792218,0.5294929837655419
0.29,2,2,7,0.5101826748792218,0.5294929837655419
0.3,2,2,7,0.5101826748792218,0.5294929837655419
0.3,2,2,7,0.5101826748792218,0.5294929837655419
0.31,2,2,7,0.5101826748792218,0.5294929837655419
0.31,2,2,7,0.5101826748792218,0.5294929837655419
0.32,2,2,7,0.5101826748792218,0.5294929837655419
0.32,2,2,7,0.5101826748792218,0.5294929837655419
0.33,2,2,7,0.5101826748792218,0.5294929837655419
0.33,2,2,7,0.5101826748792218,0.5294929837655419
0.34,2,2,7,0.5101826748792218,0.5294929837655419
0.34,2,2,7,0.5101826748792218,0.5294929837655419
0.35,2,2,7,0.5101826748792218,0.5294929837655419
0.35,2,2,6,0.5034760099262716,0.53685007069976
0.36,2,2,6,0.5034760099262716,0.53685007069976
0.36,2,2,6,0.5034760099262716,0.53685007069976
0.37,2,2,6,0.5034760099262716,0.53685007069976
0.37,2,2,6,0.5034760099262716,0.53685007069976
0.37,2,3,4,0.5053933829822952,0.4298899302881158
0.38,2,3,4,0.5053933829822952,0.4298899302881158
0.38,2,3,4,0.5053933829822952,0.4298899302881158
0.39,2,3,4,0.5053933829822952,0.4298899302881158
0.39,2,2,4,0.798526013479031,0.21832778643862877
0.4,2,2,4,0.798526013479031,0.21832778643862877
0.4,2,2,4,0.798526013479031,0.21832778643862877
0.41,2,2,4,0.798526013479031,0.21832778643862877
0.41,2,2,4,0.798526013479031,0.21832778643862877
0.42,2,2,4,0.798526013479031,0.21832778643862877
0.42,2,2,4,0.798526013479031,0.21832778643862877
0.43,2,2,4,0.798526013479031,0.21832778643862877
0.43,2,2,4,0.798526013479031,0.21832778643862877
0.44,2,2,4,0.798526013479031,0.21832778643862877
0.44,2,2,4,0.798526013479031,0.21832778643862877
0.45,2,2,4,0.798526013479031,0.21832778643862877
0.45,2,2,4,0.798526013479031,0.21832778643862877
0.46,2,2,4,0.798526013479031,0.21832778643862877
0.46,2,2,4,0.798526013479031,0.21832778643862877
0.47,2,2,4,0.798526013479031,0.21832778643862877
0.47,2,2,4,0.798526013479031,0.21832778643862877
0.47,2,2,3,0.7969339435132731,0.2193964037112558
0.48,2,2,3,0.7969339435132731,0.2193964037112558
0.48,2,2,3,0.7969339435132731,0.2193964037112558
0.49,2,2,3,0.7969339435132731,0.2193964037112558
0.49,2,2,3,0.7969339435132731,0.2193964037112558
0.5,2,2,2,0.8125343232316968,0.25116693341875423
0.5,2,2,2,0.8125343232316968,0.25116693341875423
0.51,2,2,2,0.8125343232316968,0.25116693341875423
0.51,2,2,2,0.8125343232316968,0.25116693341875423
0.52,2,2,2,0.8125343232316968,0.25116693341875423
0.52,2,2,2,0.8125343232316968,0.25116693341875423
0.53,2,2,2,0.8125343232316968,0.25116693341875423
0.53,2,2,2,0.8125343232316968,0.25116693341875423
0.54,2,2,2,0.8125343232316968,0.25116693341875423
0.54,2,2,2,0.8125343232316968,0.25116693341875423
0.55,2,2,2,0.8125343232316968,0.25116693341875423
0.55,2,2,2,0.8125343232316968,0.25116693341875423
0.56,2,2,2,0.8125343232316968,0.25116693341875423
0.56,2,2,2,0.8125343232316968,0.25116693341875423
0.57,2,2,2,0.8125343232316968,0.25116693341875423
0.57,2,2,2,0.8125343232316968,0.25116693341875423
0.58,2,2,2,0.8125343232316968,0.25116693341875423
0.58,2,2,2,0.8125343232316968,0.25116693341875423
0.58,2,2,2,0.8125343232316968,0.25116693341875423
0.59,2,2,2,0.8125343232316968,0.25116693341875423
0.59,2,2,2,0.8125343232316968,0.25116693341875423
0.6,2,2,2,0.8125343232316968,0.25116693341875423
0.6,2,2,2,0.8125343232316968,0.25116693341875423
0.61,2,2,2,0.8125343232316968,0.25116693341875423
0.61,2,2,2,0.8125343232316968,0.25116693341875423
0.62,2,2,2,0.8125343232316968,0.25116693341875423
0.62,2,2,2,0.8125343232316968,0.25116693341875423
0.63,2,2,2,0.8125343232316968,0.25116693341875423
0.63,2,2,2,0.8125343232316968,0.25116693341875423
0.64,2,2,2,0.8125343232316968,0.25116693341875423
0.64,2,2,2,0.8125343232316968,0.25116693341875423
0.65,2,2,2,0.8125343232316968,0.25116693341875423
0.65,2,2,2,0.8125343232316968,0.25116693341875423
0.66,2,2,2,0.8125343232316968,0.25116693341875423
0.66,2,2,2,0.8125343232316968,0.25116693341875423
0.67,2,2,2,0.8125343232316968,0.25116693341875423
0.67,2,2,2,0.8125343232316968,0.25116693341875423
0.68,2,2,2,0.8125343232316968,0.25116693341875423
0.68,2,2,2,0.8125343232316968,0.25116693341875423
0.68,2,2,2,0.8125343232316968,0.25116693341875423
0.69,2,2,2,0.8125343232316968,0.25116693341875423
0.69,2,2,2,0.8125343232316968,0.25116693341875423
0.7,2,2,2,0.8125343232316968,0.25116693341875423
0.7,2,2,2,0.8125343232316968,0.25116693341875423
0.71,2,2,2,0.8125343232316968,0.25116693341875423
0.71,2,2,2,0.8125343232316968,0.25116693341875423
0.72,2,2,2,0.8125343232316968,0.25116693341875423
0.72,2,2,2,0.8125343232316968,0.25116693341875423
0.73,2,2,2,0.8125343232316968,0.25116693341875423
0.73,2,2,2,0.8125343232316968,0.25116693341875423
0.74,2,2,2,0.8125343232316968,0.25116693341875423
0.74,2,2,2,0.8125343232316968,0.25116693341875423
0.75,2,2,2,0.8125343232316968,0.25116693341875423
0.75,2,2,2,0.8125343232316968,0.25116693341875423
0.76,2,2,2,0.8125343232316968,0.25116693341875423
0.76,2,2,2,0.8125343232316968,0.25116693341875423
0.77,2,2,2,0.8125343232316968,0.25116693341875423
0.77,2,2,2,0.8125343232316968,0.25116693341875423
0.78,2,2,2,0.8125343232316968,0.25116693341875423
0.78,2,2,2,0.8125343232316968,0.25116693341875423
0.79,2,2,2,0.8125343232316968,0.25116693341875423
0.79,2,2,2,0.8125343232316968,0.25116693341875423
0.79,2,2,2,0.8125343232316968,0.25116693341875423
0.8,2,2,2,0.8125343232316968,0.25116693341875423
0.8,2,2,2,0.8125343232316968,0.25116693341875423
0.81,2,2,2,0.8125343232316968,0.25116693341875423
0.81,2,2,2,0.8125343232316968,0.25116693341875423
0.82,2,2,2,0.8125343232316968,0.25116693341875423
0.82,2,2,2,0.8125343232316968,0.25116693341875423
0.83,2,2,2,0.8125343232316968,0.25116693341875423
0.83,2,2,2,0.8125343232316968,0.25116693341875423
0.84,2,2,2,0.8125343232316968,0.25116693341875423
0.84,2,2,2,0.8125343232316968,0.25116693341875423
0.85,2,2,2,0.8125343232316968,0.25116693341875423
0.85,2,2,2,0.8125343232316968,0.25116693341875423
0.86,2,1,2,,
0.86,2,1,2,,
0.87,2,1,2,,
0.87,2,1,2,,
0.88,2,1,2,,
0.88,2,1,2,,
0.89,2,1,2,,
0.89,2,1,2,,
0.89,2,1,2,,
0.9,2,1,2,,
0.9,2,1,2,,
0.91,2,1,2,,
0.91,2,1,2,,
0.92,2,1,2,,
0.92,2,1,2,,
0.93,2,1,2,,
0.93,2,1,2,,
0.94,2,1,2,,
0.94,2,1,2,,
0.95,2,1,2,,
0.95,2,1,2,,
0.96,2,1,2,,
0.96,2,1,2,,
0.97,2,1,2,,
0.97,2,1,2,,
0.98,2,1,2,,
0.98,2,1,2,,
0.99,2,1,2,,
0.99,2,1,2,,
