eps,Min_Samples,Clusters,Noise,Silhouette Score,Davies-Bouldin Index
0.05,2,37,106,0.3032224525413598,0.5943717067379108
0.05,2,36,94,0.27374468941042235,0.6432214588946137
0.06,2,30,81,0.1267630323102739,0.6482356052510929
0.06,2,23,67,0.03864278827929026,0.762261842115498
0.07,2,19,58,0.0230635856189668,0.8133337061679041
0.07,2,16,47,-0.03864882160546642,0.737364940420214
0.08,2,12,44,-0.20250635264344732,0.6519001578656598
0.08,2,13,38,-0.19009422253095223,0.6562404487830207
0.09,2,12,31,-0.20336687468688808,0.6842446863981401
0.09,2,10,28,-0.2304622284687919,0.7204655079662101
0.1,2,7,27,-0.2134813457635275,0.7875618480672104
0.1,2,6,23,-0.18882729968500245,0.65075905137063
0.11,2,6,22,-0.18809767182406642,0.6505839705177017
0.11,2,5,22,0.21650358189302818,0.5246950635708404
0.12,2,5,21,0.21521726246290862,0.5333693352076103
0.12,2,4,20,0.23604049279472245,0.5437968285377813
0.13,2,4,20,0.23604049279472245,0.5437968285377813
0.13,2,5,17,0.0676906099758381,0.7169206618181688
0.14,2,6,14,0.026047018866837614,0.6898537966717052
0.14,2,6,14,0.026047018866837614,0.6898537966717052
0.15,2,6,12,-0.005181344559643103,0.6735194090089842
0.15,2,6,11,-0.0065587450709947885,0.6745622723267176
0.16,2,5,10,0.036005222204695306,0.7058388442090973
0.16,2,5,9,0.032924305021494196,0.7086424717125214
0.16,2,5,9,0.032924305021494196,0.7086424717125214
0.17,2,4,9,0.19765608201514814,0.5233150336880248
0.17,2,4,9,0.19765608201514814,0.5233150336880248
0.18,2,4,9,0.19765608201514814,0.5233150336880248
0.18,2,4,8,0.19680496841970133,0.5238903914782858
0.19,2,4,7,0.19981321311778913,0.535200181486509
0.19,2,4,5,0.19847459284416274,0.5360501216931236
0.2,2,4,5,0.19847459284416274,0.5360501216931236
0.2,2,4,5,0.19847459284416274,0.5360501216931236
0.21,2,4,5,0.19847459284416274,0.5360501216931236
0.21,2,4,5,0.19847459284416274,0.5360501216931236
0.22,2,4,5,0.19847459284416274,0.5360501216931236
0.22,2,3,5,0.5493946023750866,0.3024876106102477
0.23,2,3,5,0.5493946023750866,0.3024876106102477
0.23,2,2,4,0.8342656144862483,0.1422475977623342
0.24,2,2,4,0.8342656144862483,0.1422475977623342
0.24,2,2,4,0.8342656144862483,0.1422475977623342
0.25,2,2,4,0.8342656144862483,0.1422475977623342
0.25,2,2,4,0.8342656144862483,0.1422475977623342
0.26,2,2,4,0.8342656144862483,0.1422475977623342
0.26,2,2,4,0.8342656144862483,0.1422475977623342
0.26,2,2,4,0.8342656144862483,0.1422475977623342
0.27,2,2,3,0.8305411591054432,0.14402169542806018
0.27,2,2,3,0.8305411591054432,0.14402169542806018
0.28,2,2,3,0.8305411591054432,0.14402169542806018
0.28,2,2,3,0.8305411591054432,0.14402169542806018
0.29,2,2,3,0.8305411591054432,0.14402169542806018
0.29,2,2,3,0.8305411591054432,0.14402169542806018
0.3,2,2,3,0.8305411591054432,0.14402169542806018
0.3,2,2,3,0.8305411591054432,0.14402169542806018
0.31,2,2,3,0.8305411591054432,0.14402169542806018
0.31,2,2,3,0.8305411591054432,0.14402169542806018
0.32,2,2,3,0.8305411591054432,0.14402169542806018
0.32,2,2,3,0.8305411591054432,0.14402169542806018
0.33,2,2,2,0.8297875234241757,0.14450688814246287
0.33,2,2,2,0.8297875234241757,0.14450688814246287
0.34,2,2,2,0.8297875234241757,0.14450688814246287
0.34,2,2,2,0.8297875234241757,0.14450688814246287
0.35,2,2,2,0.8297875234241757,0.14450688814246287
0.35,2,2,2,0.8297875234241757,0.14450688814246287
0.36,2,2,2,0.8297875234241757,0.14450688814246287
0.36,2,2,2,0.8297875234241757,0.14450688814246287
0.37,2,2,2,0.8297875234241757,0.14450688814246287
0.37,2,2,2,0.8297875234241757,0.14450688814246287
0.37,2,2,2,0.8297875234241757,0.14450688814246287
0.38,2,2,2,0.8297875234241757,0.14450688814246287
0.38,2,2,2,0.8297875234241757,0.14450688814246287
0.39,2,2,2,0.8297875234241757,0.14450688814246287
0.39,2,2,2,0.8297875234241757,0.14450688814246287
0.4,2,2,2,0.8297875234241757,0.14450688814246287
0.4,2,2,2,0.8297875234241757,0.14450688814246287
0.41,2,2,2,0.8297875234241757,0.14450688814246287
0.41,2,2,2,0.8297875234241757,0.14450688814246287
0.42,2,2,2,0.8297875234241757,0.14450688814246287
0.42,2,2,2,0.8297875234241757,0.14450688814246287
0.43,2,2,2,0.8297875234241757,0.14450688814246287
0.43,2,2,2,0.8297875234241757,0.14450688814246287
0.44,2,2,2,0.8297875234241757,0.14450688814246287
0.44,2,2,2,0.8297875234241757,0.14450688814246287
0.45,2,2,2,0.8297875234241757,0.14450688814246287
0.45,2,2,2,0.8297875234241757,0.14450688814246287
0.46,2,2,2,0.8297875234241757,0.14450688814246287
0.46,2,2,2,0.8297875234241757,0.14450688814246287
0.47,2,2,2,0.8297875234241757,0.14450688814246287
0.47,2,2,2,0.8297875234241757,0.14450688814246287
0.47,2,2,2,0.8297875234241757,0.14450688814246287
0.48,2,2,2,0.8297875234241757,0.14450688814246287
0.48,2,2,2,0.8297875234241757,0.14450688814246287
0.49,2,2,2,0.8297875234241757,0.14450688814246287
0.49,2,2,2,0.8297875234241757,0.14450688814246287
0.5,2,2,2,0.8297875234241757,0.14450688814246287
0.5,2,2,2,0.8297875234241757,0.14450688814246287
0.51,2,2,2,0.8297875234241757,0.14450688814246287
0.51,2,2,2,0.8297875234241757,0.14450688814246287
0.52,2,2,2,0.8297875234241757,0.14450688814246287
0.52,2,2,2,0.8297875234241757,0.14450688814246287
0.53,2,2,2,0.8297875234241757,0.14450688814246287
0.53,2,2,2,0.8297875234241757,0.14450688814246287
0.54,2,2,2,0.8297875234241757,0.14450688814246287
0.54,2,2,2,0.8297875234241757,0.14450688814246287
0.55,2,2,2,0.8297875234241757,0.14450688814246287
0.55,2,2,2,0.8297875234241757,0.14450688814246287
0.56,2,2,2,0.8297875234241757,0.14450688814246287
0.56,2,2,2,0.8297875234241757,0.14450688814246287
0.57,2,2,2,0.8297875234241757,0.14450688814246287
0.57,2,2,2,0.8297875234241757,0.14450688814246287
0.58,2,2,2,0.8297875234241757,0.14450688814246287
0.58,2,2,2,0.8297875234241757,0.14450688814246287
0.58,2,2,2,0.8297875234241757,0.14450688814246287
0.59,2,2,2,0.8297875234241757,0.14450688814246287
0.59,2,2,2,0.8297875234241757,0.14450688814246287
0.6,2,2,2,0.8297875234241757,0.14450688814246287
0.6,2,2,2,0.8297875234241757,0.14450688814246287
0.61,2,2,2,0.8297875234241757,0.14450688814246287
0.61,2,2,2,0.8297875234241757,0.14450688814246287
0.62,2,2,2,0.8297875234241757,0.14450688814246287
0.62,2,2,2,0.8297875234241757,0.14450688814246287
0.63,2,2,2,0.8297875234241757,0.14450688814246287
0.63,2,2,2,0.8297875234241757,0.14450688814246287
0.64,2,2,2,0.8297875234241757,0.14450688814246287
0.64,2,2,2,0.8297875234241757,0.14450688814246287
0.65,2,2,2,0.8297875234241757,0.14450688814246287
0.65,2,2,2,0.8297875234241757,0.14450688814246287
0.66,2,2,2,0.8297875234241757,0.14450688814246287
0.66,2,2,2,0.8297875234241757,0.14450688814246287
0.67,2,2,2,0.8297875234241757,0.14450688814246287
0.67,2,2,2,0.8297875234241757,0.14450688814246287
0.68,2,2,2,0.8297875234241757,0.14450688814246287
0.68,2,2,2,0.8297875234241757,0.14450688814246287
0.68,2,2,2,0.8297875234241757,0.14450688814246287
0.69,2,2,2,0.8297875234241757,0.14450688814246287
0.69,2,2,2,0.8297875234241757,0.14450688814246287
0.7,2,2,2,0.8297875234241757,0.14450688814246287
0.7,2,2,2,0.8297875234241757,0.14450688814246287
0.71,2,2,2,0.8297875234241757,0.14450688814246287
0.71,2,2,2,0.8297875234241757,0.14450688814246287
0.72,2,2,2,0.8297875234241757,0.14450688814246287
0.72,2,2,2,0.8297875234241757,0.14450688814246287
0.73,2,2,2,0.8297875234241757,0.14450688814246287
0.73,2,2,2,0.8297875234241757,0.14450688814246287
0.74,2,2,2,0.8297875234241757,0.14450688814246287
0.74,2,2,2,0.8297875234241757,0.14450688814246287
0.75,2,2,2,0.8297875234241757,0.14450688814246287
0.75,2,2,2,0.8297875234241757,0.14450688814246287
0.76,2,2,2,0.8297875234241757,0.14450688814246287
0.76,2,2,2,0.8297875234241757,0.14450688814246287
0.77,2,2,2,0.8297875234241757,0.14450688814246287
0.77,2,2,2,0.8297875234241757,0.14450688814246287
0.78,2,2,2,0.8297875234241757,0.14450688814246287
0.78,2,2,2,0.8297875234241757,0.14450688814246287
0.79,2,2,2,0.8297875234241757,0.14450688814246287
0.79,2,2,2,0.8297875234241757,0.14450688814246287
0.79,2,2,2,0.8297875234241757,0.14450688814246287
0.8,2,2,2,0.8297875234241757,0.14450688814246287
0.8,2,2,2,0.8297875234241757,0.14450688814246287
0.81,2,2,2,0.8297875234241757,0.14450688814246287
0.81,2,2,2,0.8297875234241757,0.14450688814246287
0.82,2,2,2,0.8297875234241757,0.14450688814246287
0.82,2,2,2,0.8297875234241757,0.14450688814246287
0.83,2,2,2,0.8297875234241757,0.14450688814246287
0.83,2,2,2,0.8297875234241757,0.14450688814246287
0.84,2,2,2,0.8297875234241757,0.14450688814246287
0.84,2,2,2,0.8297875234241757,0.14450688814246287
0.85,2,2,2,0.8297875234241757,0.14450688814246287
0.85,2,2,2,0.8297875234241757,0.14450688814246287
0.86,2,2,2,0.8297875234241757,0.14450688814246287
0.86,2,2,2,0.8297875234241757,0.14450688814246287
0.87,2,2,2,0.8297875234241757,0.14450688814246287
0.87,2,2,2,0.8297875234241757,0.14450688814246287
0.88,2,2,2,0.8297875234241757,0.14450688814246287
0.88,2,2,2,0.8297875234241757,0.14450688814246287
0.89,2,2,2,0.8297875234241757,0.14450688814246287
0.89,2,2,2,0.8297875234241757,0.14450688814246287
0.89,2,2,2,0.8297875234241757,0.14450688814246287
0.9,2,2,2,0.8297875234241757,0.14450688814246287
0.9,2,2,2,0.8297875234241757,0.14450688814246287
0.91,2,2,2,0.8297875234241757,0.14450688814246287
0.91,2,2,2,0.8297875234241757,0.14450688814246287
0.92,2,2,2,0.8297875234241757,0.14450688814246287
0.92,2,2,2,0.8297875234241757,0.14450688814246287
0.93,2,2,2,0.8297875234241757,0.14450688814246287
0.93,2,2,2,0.8297875234241757,0.14450688814246287
0.94,2,2,2,0.8297875234241757,0.14450688814246287
0.94,2,2,2,0.8297875234241757,0.14450688814246287
0.95,2,2,2,0.8297875234241757,0.14450688814246287
