eps,Min_Samples,Clusters,Noise,Silhouette Score,Davies-Bouldin Index
0.05,2,35,135,0.3900210912833486,0.5374707886173504
0.05,2,39,111,0.18235133154893943,0.6726005336547911
0.06,2,37,89,0.10033393031981319,0.7075707651174838
0.06,2,29,78,0.11662764059004473,0.7835126902533772
0.07,2,22,75,0.08234548608886968,0.7272488812618084
0.07,2,16,67,-0.07865914953838343,0.8545715120436511
0.08,2,15,60,-0.03554818846987207,0.8719975170118722
0.08,2,12,52,0.12337638657047885,0.7038002243345484
0.09,2,10,48,0.13264841757217963,0.7044740829730894
0.09,2,11,35,0.12037687439799068,0.7632488340469841
0.1,2,9,31,-0.12445220078681003,0.9869701122763976
0.1,2,8,31,-0.12114596590366931,1.0240544205125535
0.11,2,6,29,-0.03721786371058992,0.7063786576688269
0.11,2,6,27,-0.04950603620748562,0.7150572099342725
0.12,2,5,25,0.0020871266236646446,0.7185516984151007
0.12,2,5,21,-0.00023540686071466397,0.7318599153637535
0.13,2,6,17,-0.024128010604581175,0.7275275936280616
0.13,2,4,15,0.20695230529133218,0.6155891977942936
0.14,2,4,15,0.20695230529133218,0.6155891977942936
0.14,2,4,14,0.20011031568512094,0.6215874027824052
0.15,2,4,14,0.20011031568512094,0.6215874027824052
0.15,2,4,13,0.19929217398612267,0.6224323440875401
0.16,2,3,12,0.34006838755199703,0.4906354463052966
0.16,2,2,12,0.5302558639099407,0.35920869028857116
0.16,2,2,11,0.5305460803114985,0.35901640499992804
0.17,2,2,9,0.6872171880784655,0.2670778732642515
0.17,2,2,9,0.6872171880784655,0.2670778732642515
0.18,2,2,9,0.6872171880784655,0.2670778732642515
0.18,2,2,9,0.6872171880784655,0.2670778732642515
0.19,2,2,9,0.6872171880784655,0.2670778732642515
0.19,2,2,9,0.6872171880784655,0.2670778732642515
0.2,2,2,9,0.6872171880784655,0.2670778732642515
0.2,2,2,9,0.6872171880784655,0.2670778732642515
0.21,2,2,9,0.6872171880784655,0.2670778732642515
0.21,2,2,8,0.6866991316660376,0.2675940289669316
0.22,2,2,8,0.6866991316660376,0.2675940289669316
0.22,2,2,8,0.6866991316660376,0.2675940289669316
0.23,2,2,8,0.6866991316660376,0.2675940289669316
0.23,2,2,8,0.6866991316660376,0.2675940289669316
0.24,2,2,8,0.6866991316660376,0.2675940289669316
0.24,2,2,8,0.6866991316660376,0.2675940289669316
0.25,2,2,8,0.6866991316660376,0.2675940289669316
