eps,Min_Samples,Clusters,Noise,Silhouette Score,Davies-Bouldin Index
0.05,2,23,72,0.07711707784293119,0.6839785992745554
0.05,2,20,61,0.06198414982149258,0.742379896422767
0.06,2,16,47,0.05948068570757553,0.8017188374997757
0.06,2,9,43,-0.08945988176471535,0.6813068698616229
0.07,2,9,31,-0.1061007824129969,0.828945923185447
0.07,2,7,29,-0.08541818028919282,0.7793111406574652
0.08,2,7,28,-0.08418325532635777,0.7783532771552901
0.08,2,7,25,0.013148643250581057,0.6197771034426366
0.09,2,7,22,0.015158315825721103,0.7516410275143529
0.09,2,6,21,0.03785836325481884,0.8227230078407604
0.1,2,5,20,0.04132185003035075,0.8231932863060074
0.1,2,2,20,0.4767051507078565,0.3797382192678335
0.11,2,2,19,0.4765741013354947,0.37952145059593034
0.11,2,2,19,0.4765741013354947,0.37952145059593034
0.12,2,3,13,0.221318573136944,0.652214556095659
0.12,2,5,8,0.15857465612327692,0.6717245824913135
0.13,2,5,8,0.15857465612327692,0.6717245824913135
0.13,2,4,8,0.17323877933827736,0.75994996340164
0.14,2,4,8,0.17323877933827736,0.75994996340164
0.14,2,3,8,0.19410068774589812,0.7305075387000128
0.15,2,3,8,0.19410068774589812,0.7305075387000128
0.15,2,3,8,0.19410068774589812,0.7305075387000128
0.16,2,3,8,0.19410068774589812,0.7305075387000128
0.16,2,3,8,0.19410068774589812,0.7305075387000128
0.16,2,2,8,0.5906471369864796,0.32486089876612445
0.17,2,2,7,0.6093597345172711,0.35134332598214446
0.17,2,2,7,0.6093597345172711,0.35134332598214446
0.18,2,2,7,0.6093597345172711,0.35134332598214446
0.18,2,2,7,0.6093597345172711,0.35134332598214446
0.19,2,2,7,0.6093597345172711,0.35134332598214446
0.19,2,2,6,0.6075173451181448,0.3528405772680526
0.2,2,2,6,0.6075173451181448,0.3528405772680526
0.2,2,2,6,0.6075173451181448,0.3528405772680526
0.21,2,2,6,0.6075173451181448,0.3528405772680526
0.21,2,2,6,0.6075173451181448,0.3528405772680526
0.22,2,2,6,0.6075173451181448,0.3528405772680526
0.22,2,2,6,0.6075173451181448,0.3528405772680526
0.23,2,2,6,0.6075173451181448,0.3528405772680526
0.23,2,2,6,0.6075173451181448,0.3528405772680526
0.24,2,2,6,0.6075173451181448,0.3528405772680526
0.24,2,2,6,0.6075173451181448,0.3528405772680526
0.25,2,1,6,,
0.25,2,1,6,,
0.26,2,1,6,,
0.26,2,1,6,,
0.26,2,1,6,,
0.27,2,1,6,,
0.27,2,1,6,,
0.28,2,1,6,,
0.28,2,1,6,,
0.29,2,1,6,,
0.29,2,1,6,,
0.3,2,1,6,,
0.3,2,1,6,,
0.31,2,1,6,,
0.31,2,1,6,,
0.32,2,1,6,,
0.32,2,1,6,,
0.33,2,1,6,,
0.33,2,1,6,,
0.34,2,1,6,,
0.34,2,1,6,,
0.35,2,1,6,,
0.35,2,1,6,,
0.36,2,1,6,,
