eps,Min_Samples,Clusters,Noise,Silhouette Score,Davies-Bouldin Index
0.05,2,33,163,0.5045184248729235,0.47998357962105204
0.07,2,28,104,0.2061183875675073,0.6589106109354999
0.09,2,14,69,-0.10285346504595742,0.6757281858505021
0.11,2,10,50,-0.017566550522830484,0.7157924569313497
0.13,2,8,36,0.24653847223382372,0.5422971786914921
0.15,2,6,25,0.18478809169387747,0.7100246527114185
0.17,2,6,17,0.2210803561706781,0.7980823747349293
0.19,2,2,14,0.4966824677971676,0.41009862306863504
0.21,2,1,10,,
0.22,2,1,10,,
0.24,2,1,9,,
0.26,2,1,9,,
0.28,2,1,9,,
0.3,2,1,9,,
0.32,2,1,8,,
0.34,2,1,8,,
0.36,2,1,8,,
0.38,2,1,7,,
0.4,2,1,7,,
0.42,2,1,6,,
0.44,2,1,6,,
0.46,2,1,6,,
0.48,2,1,6,,
0.5,2,1,6,,
0.52,2,1,6,,
0.53,2,1,6,,
0.55,2,1,6,,
0.57,2,1,5,,
0.59,2,1,5,,
0.61,2,1,5,,
0.63,2,1,5,,
0.65,2,1,5,,
0.67,2,1,5,,
0.69,2,1,5,,
0.71,2,1,5,,
0.73,2,1,5,,
0.75,2,1,5,,
0.77,2,1,5,,
0.79,2,1,5,,
0.81,2,1,5,,
0.83,2,1,5,,
0.84,2,1,4,,
0.86,2,1,4,,
0.88,2,1,4,,
0.9,2,1,3,,
0.92,2,1,3,,
0.94,2,1,2,,
0.96,2,1,2,,
0.98,2,1,2,,
1.0,2,1,2,,
