eps,Min_Samples,Clusters,Noise,Silhouette Score,Davies-Bouldin Index
0.05,2,12,58,-0.1477587100631437,0.9574643789822938
0.07,2,9,31,-0.08211852238743324,0.8005978836995588
0.09,2,4,23,0.284461876590682,0.47662593731526326
0.11,2,4,17,0.274677762340539,0.48391460041389334
0.13,2,4,15,0.2736072017161675,0.5054483279796451
0.15,2,4,11,0.26823124052618696,0.530570940989128
0.17,2,5,7,0.24801569676463334,0.5637877689747316
0.19,2,4,6,0.3956405602638489,0.4816147361657851
0.21,2,4,5,0.39374481582672877,0.4825725054242905
0.22,2,2,4,0.7456155627932602,0.1942315747911901
0.24,2,2,4,0.7456155627932602,0.1942315747911901
0.26,2,2,4,0.7456155627932602,0.1942315747911901
0.28,2,2,4,0.7456155627932602,0.1942315747911901
0.3,2,2,4,0.7456155627932602,0.1942315747911901
0.32,2,2,4,0.7456155627932602,0.1942315747911901
0.34,2,2,4,0.7456155627932602,0.1942315747911901
0.36,2,2,4,0.7456155627932602,0.1942315747911901
0.38,2,2,3,0.7667457777330392,0.26363434211319003
0.4,2,1,3,,
0.42,2,1,2,,
0.44,2,1,2,,
0.46,2,1,2,,
0.48,2,1,2,,
0.5,2,1,1,,
0.52,2,1,1,,
0.53,2,1,1,,
0.55,2,1,1,,
0.57,2,1,1,,
0.59,2,1,1,,
0.61,2,1,1,,
0.63,2,1,1,,
0.65,2,1,1,,
0.67,2,1,1,,
0.69,2,1,1,,
0.71,2,1,1,,
0.73,2,1,1,,
0.75,2,1,1,,
0.77,2,1,1,,
0.79,2,1,1,,
0.81,2,1,1,,
0.83,2,1,1,,
0.84,2,1,1,,
0.86,2,1,1,,
0.88,2,1,1,,
0.9,2,1,1,,
0.92,2,1,1,,
0.94,2,1,1,,
0.96,2,1,1,,
0.98,2,1,1,,
1.0,2,1,1,,
