eps,Min_Samples,Clusters,Noise,Silhouette Score,Davies-Bouldin Index
0.05,2,27,152,0.30009476081565956,0.6593649684819513
0.07,2,19,87,0.17380001885655488,0.7993032539722943
0.09,2,9,54,-0.2975234189185626,1.2127986627936476
0.11,2,8,34,-0.010322892829811829,0.7429424313618678
0.13,2,4,25,0.3534893478843305,0.3818427912981302
0.15,2,3,20,0.37111000796676885,0.42544328780160084
0.17,2,3,17,0.3855491225957809,0.4362397073830981
0.19,2,3,11,0.3685475993184922,0.47949577861377096
0.21,2,2,10,0.3616338953111465,0.5995110166407269
0.22,2,1,10,,
0.24,2,1,9,,
0.26,2,1,9,,
0.28,2,2,6,0.31309041907962326,0.8887219003508383
0.3,2,1,6,,
0.32,2,1,6,,
0.34,2,1,6,,
0.36,2,2,4,0.8109778092275672,0.19810679242037216
0.38,2,2,4,0.8109778092275672,0.19810679242037216
0.4,2,2,4,0.8109778092275672,0.19810679242037216
0.42,2,2,4,0.8109778092275672,0.19810679242037216
0.44,2,2,4,0.8109778092275672,0.19810679242037216
0.46,2,2,3,0.8176545150743304,0.21900373863306666
0.48,2,2,3,0.8176545150743304,0.21900373863306666
0.5,2,2,2,0.8082147135426635,0.2646917080518216
0.52,2,2,2,0.8082147135426635,0.2646917080518216
0.53,2,2,2,0.8082147135426635,0.2646917080518216
0.55,2,2,2,0.8082147135426635,0.2646917080518216
0.57,2,2,2,0.8082147135426635,0.2646917080518216
0.59,2,2,2,0.8082147135426635,0.2646917080518216
0.61,2,2,2,0.8082147135426635,0.2646917080518216
0.63,2,2,2,0.8082147135426635,0.2646917080518216
0.65,2,2,2,0.8082147135426635,0.2646917080518216
0.67,2,2,2,0.8082147135426635,0.2646917080518216
0.69,2,2,2,0.8082147135426635,0.2646917080518216
0.71,2,2,2,0.8082147135426635,0.2646917080518216
0.73,2,2,2,0.8082147135426635,0.2646917080518216
0.75,2,2,2,0.8082147135426635,0.2646917080518216
0.77,2,2,2,0.8082147135426635,0.2646917080518216
0.79,2,2,2,0.8082147135426635,0.2646917080518216
0.81,2,2,2,0.8082147135426635,0.2646917080518216
0.83,2,2,2,0.8082147135426635,0.2646917080518216
0.84,2,2,2,0.8082147135426635,0.2646917080518216
0.86,2,2,2,0.8082147135426635,0.2646917080518216
0.88,2,2,2,0.8082147135426635,0.2646917080518216
0.9,2,2,2,0.8082147135426635,0.2646917080518216
0.92,2,2,2,0.8082147135426635,0.2646917080518216
0.94,2,2,2,0.8082147135426635,0.2646917080518216
0.96,2,2,2,0.8082147135426635,0.2646917080518216
0.98,2,2,2,0.8082147135426635,0.2646917080518216
1.0,2,1,2,,
